1081,536,182.84
1082,545,185.91
1083,560,191.03
1084,528,180.11
1085,592,201.95
1086,542,184.89
1087,548,186.94
1088,562,191.71
1089,495,168.86
1090,587,200.24
1091,548,186.94
1092,547,186.60
1093,528,180.11
1094,562,191.71
1095,569,194.10
1096,529,180.46
1097,545,185.91
1098,577,196.83
1099,576,196.49
1100,573,195.47
1101,573,195.47
1102,573,195.47
1103,583,198.88
1104,533,181.82
1105,560,191.03
1106,594,202.63
1107,553,188.64
1108,528,180.11
1109,575,196.15
1110,526,179.43
1111,528,180.11
1112,557,190.01
1113,539,183.87
1114,549,187.28
1115,576,196.49
1116,556,189.67
1117,558,190.35
1118,510,173.97
1119,534,182.16
1120,578,197.17
1121,573,195.47
1122,558,190.35
1123,599,204.33
1124,582,198.54
1125,537,183.18
1126,555,189.32
1127,549,187.28
1128,548,186.94
1129,577,196.83
1130,590,201.26
1131,526,179.43
1132,551,187.96
1133,598,203.99
1134,594,202.63
1135,561,191.37
1136,566,193.08
1137,571,194.78
1138,545,185.91
1139,551,187.96
1140,604,206.04
1141,541,184.55
1142,546,186.25
1143,577,196.83
1144,592,201.95
1145,550,187.62
1146,511,174.32
1147,605,206.38
1148,545,185.91
1149,560,191.03
1150,590,201.26
1151,576,196.49
1152,505,172.27
1153,560,191.03
1154,564,192.40
1155,525,179.09
1156,544,185.57
1157,582,198.54
1158,544,185.57
1159,551,187.96
1160,569,194.10
1161,561,191.37
1162,602,205.36
1163,578,197.17
1164,578,197.17
1165,581,198.19
1166,594,202.63
1167,575,196.15
1168,603,205.70
1169,593,202.29
1170,570,194.44
1171,601,205.02
1172,583,198.88
1173,575,196.15
1174,586,199.90
1175,629,214.57
1176,503,171.59
1177,560,191.03
1178,592,201.95
1179,578,197.17
1180,564,192.40
1181,566,193.08
1182,592,201.95
1183,570,194.44
1184,559,190.69
1185,623,212.52
1186,558,190.35
1187,562,191.71
1188,540,184.21
1189,560,191.03
1190,610,208.09
1191,615,209.79
1192,592,201.95
1193,585,199.56
1194,567,193.42
1195,535,182.50
1196,576,196.49
1197,583,198.88
1198,569,194.10
1199,550,187.62
1200,549,187.28
1201,577,196.83
1202,563,192.05
1203,535,182.50
1204,549,187.28
1205,546,186.25
1206,557,190.01
1207,594,202.63
1208,614,209.45
1209,640,218.32
1210,583,198.88
1211,595,202.97
1212,544,185.57
1213,562,191.71
1214,614,209.45
1215,587,200.24
1216,551,187.96
1217,577,196.83
1218,576,196.49
1219,613,209.11
1220,594,202.63
1221,578,197.17
1222,536,182.84
1223,579,197.51
1224,563,192.05
1225,586,199.90
